workflowId, subdir
668bf60d690d2839547ffd8c,apple
668bf63acc23b57bc10a8b55,cat
668bf666690d2839547ffe97,microwave
668bf692cc23b57bc10a8c96,potted plant
668bf6be690d2839547ffff4,skis
668bf6e8cc23b57bc10a8df0,toaster
668bf730690d283954800183,fork
668bf75bcc23b57bc10a8f7e,sandwich
668bf787690d2839548002f5,bench
668bf7b3cc23b57bc10a90bc,car
668bf7de690d283954800436,bed
668bf80dcc23b57bc10a9239,cup
668bf839690d283954800592,donut
668bf864cc23b57bc10a9399,dog
668bf891690d2839548006ab,couch
668bf8bfcc23b57bc10a94dc,person
668bf8e9690d2839548007ed,giraffe
668bf914cc23b57bc10a976e,bear
668bf941690d283954800930,zebra
668bf974cc23b57bc10a98b0,sheep
668bf9a0690d283954800a82,boat
668bf9cdcc23b57bc10a99ed,tennis racket
668bf9fa690d283954800b7d,baseball bat
668bfa25cc23b57bc10a9af6,oven
668bfa51690d283954800c75,motorcycle
668bfa7dcc23b57bc10a9bfa,handbag
668bfaa8690d283954800d9e,chair
668bfad3cc23b57bc10a9d5c,sink
668bfb03cc23b57bc10a9e45,bus
668bfb2e690d283954800fef,surfboard
668bfb5ccc23b57bc10a9ff6,sports ball
668bfb88690d283954801193,teddy bear
668bfbb4cc23b57bc10aa1c0,frisbee
668bfbdf690d283954801343,parking meter
668bfc0acc23b57bc10aa333,tv
668bfc38690d28395480149a,vase
668bfc63cc23b57bc10aa49b,snowboard
668bfc8e690d2839548015d6,stop sign
668bfcbacc23b57bc10aa5cf,mouse
668bfce5690d283954801722,toilet
668bfd11cc23b57bc10aa6fe,truck
668bfd3c690d28395480185b,tie
668bfd6d690d28395480193a,bowl
668bfd98cc23b57bc10aa8ce,bird
668bfdc3690d283954801a6f,airplane
668bfdf0cc23b57bc10aa9ee,dining table
668bfe1c690d283954801bb2,skateboard
668bfe49cc23b57bc10aab94,wine glass
668bfe75690d283954801cc7,book
668bfea2cc23b57bc10aacc1,suitcase
668bfece690d283954801de7,train
668bfef9cc23b57bc10aadd8,umbrella
668bff24690d283954801f2c,kite
668bff4fcc23b57bc10aaf10,broccoli
668bff7b690d283954802063,spoon
668bffa6cc23b57bc10ab03f,scissors
668bffd2690d2839548021a1,banana
668bfffdcc23b57bc10ab1af,backpack
668c002a690d28395480233a,bicycle
668c0054cc23b57bc10ab38b,laptop
668c007f690d2839548024f4,pizza
668c00accc23b57bc10ab522,refrigerator
668c00d7690d28395480262e,hot dog
668c0102cc23b57bc10ab674,toothbrush
668c012e690d283954802782,horse
668c0158cc23b57bc10ab798,baseball glove
668c0182690d2839548028ad,traffic light
668c01adcc23b57bc10ab8c8,bottle
668c01d8690d2839548029d7,cow
668c0202cc23b57bc10aba2a,keyboard
668c022d690d283954802b00,cake
668c025bcc23b57bc10abb66,clock
668c0286690d283954802c43,orange
668c02b3cc23b57bc10abcb3,cell phone
668c03dd690d283954803134,carrot
668c0409cc23b57bc10ac22b,knife
668c0436690d2839548032da,elephant
668c0461cc23b57bc10ac3c4,fire hydrant
668c048c690d283954803420,remote
